timestamp,icao24,latitude,longitude,groundspeed,track,vertical_rate,callsign,onground,alert,spi,squawk,altitude,geoaltitude,last_position,lastcontact,hour,extraField
1481274820,392AF4,,,,,,,False,False,False,,,18550,,,,'{"aircraftID":631,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18123}'
1481274820,392AF4,,,,,,,False,False,False,,,18550,,,,'{"aircraftID":631,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18123}'
1481274820,392AF4,,,,,,,False,False,False,,,18550,,,,'{"aircraftID":631,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18123}'
1481274820,392AF4,,,,,,,False,False,False,,,18550,,,,'{"aircraftID":631,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18123}'
1481274820,392AF4,48.59723,2.05827,,,,,False,False,False,,,18575,,,,'{"aircraftID":631,"messageType":"MSG","transmissionType":3,"sessionID":1,"flightID":18123,"emergency":false}'
1481274820,392AF4,,,374.7,161.3,2112,,,,,,,,,,,'{"aircraftID":631,"messageType":"MSG","transmissionType":4,"sessionID":1,"flightID":18123}'
1481274820,392AF4,,,,,,,False,,,,,,,,,'{"aircraftID":631,"messageType":"MSG","transmissionType":8,"sessionID":1,"flightID":18123}'
1481274820,392AF4,,,,,,,False,,,,,,,,,'{"aircraftID":631,"messageType":"MSG","transmissionType":8,"sessionID":1,"flightID":18123}'
1481274820,392AF3,,,,,,,False,False,False,7650,,29100,,,,'{"aircraftID":144,"messageType":"MSG","transmissionType":6,"sessionID":1,"flightID":18079,"emergency":false}'
1481274821,4CA52B,,,353.1,335.8,1088,,,,,,,,,,,'{"aircraftID":652,"messageType":"MSG","transmissionType":4,"sessionID":1,"flightID":18106}'
1481274821,4CA52B,,,353.1,335.8,1088,,,,,,,,,,,'{"aircraftID":652,"messageType":"MSG","transmissionType":4,"sessionID":1,"flightID":18106}'
1481274821,394C19,,,,,,,False,False,False,,,23875,,,,'{"aircraftID":246,"messageType":"MSG","transmissionType":5,"sessionID":1,"flightID":18100}'
