timestamp,icao24,latitude,longitude,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,altitude,geoaltitude,lastposupdate,lastcontact,hour
1656766207,39ac45,43.55579,1.30819,116,310.4,128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766208,39ac45,43.55542,1.30883,116,310.4,64,SAMUCF,False,False,False,7014,1875.0,1875,,,
1656766209,39ac45,43.55508,1.30929,116,310.4,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766210,39ac45,43.55473,1.31003,115,310.8,-192,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766211,39ac45,43.55438,1.31046,116,310.4,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766212,39ac45,43.55409,1.31093,115,310.8,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766213,39ac45,43.55359,1.31164,116,311.1,320,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766214,39ac45,43.55326,1.31216,116,311.1,192,SAMUCF,False,False,False,7014,1875.0,1875,,,
1656766215,39ac45,43.55298,1.31268,116,310.8,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766216,39ac45,43.55262,1.31322,116,310.8,-128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766217,39ac45,43.55262,1.31322,116,311.1,-192,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766218,39ac45,43.55186,1.31437,116,310.8,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766219,39ac45,43.55186,1.31437,116,310.8,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766220,39ac45,43.5513,1.31528,116,310.1,-128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766221,39ac45,43.55079,1.31613,116,310.8,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766222,39ac45,43.5506,1.31639,117,310.5,-128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766223,39ac45,43.55005,1.31729,116,310.8,-128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766224,39ac45,43.54987,1.31761,116,310.8,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766225,39ac45,43.54953,1.31815,116,310.8,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766226,39ac45,43.54911,1.31874,116,311.1,128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766227,39ac45,43.54864,1.31945,116,311.1,192,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766228,39ac45,43.54827,1.32004,116,311.5,192,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766229,39ac45,43.54808,1.3203,116,311.5,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766230,39ac45,43.54789,1.32069,116,311.5,-128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766231,39ac45,43.54724,1.32167,116,311.5,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766232,39ac45,43.54691,1.32212,116,311.5,-128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766233,39ac45,43.54659,1.32264,116,310.8,-128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766234,39ac45,43.54626,1.32317,116,311.1,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766235,39ac45,43.54592,1.32371,116,311.1,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766236,39ac45,43.54575,1.32395,116,311.1,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766237,39ac45,43.54519,1.32486,115,311.5,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766238,39ac45,43.54482,1.32537,115,311.5,192,SAMUCF,False,False,False,7014,1875.0,1875,,,
1656766239,39ac45,43.54449,1.3259,115,311.5,128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766240,39ac45,43.54413,1.32645,114,311.1,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766241,39ac45,43.54379,1.32701,114,311.1,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766242,39ac45,43.54344,1.32753,114,311.1,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766243,39ac45,43.54309,1.32811,114,311.1,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766244,39ac45,43.54275,1.32868,113,310.7,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766245,39ac45,43.54243,1.32912,113,310.7,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766246,39ac45,43.5421,1.32968,113,310.7,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766247,39ac45,43.54173,1.33026,113,310.7,128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766248,39ac45,43.54136,1.33085,113,310.7,128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766249,39ac45,43.54101,1.33141,113,311,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766250,39ac45,43.54066,1.33196,113,311,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766251,39ac45,43.54032,1.33249,113,311.4,128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766252,39ac45,43.53996,1.33306,113,311.4,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766253,39ac45,43.53963,1.33357,113,310.7,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766254,39ac45,43.5393,1.33417,113,310.7,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766255,39ac45,43.53894,1.33465,113,310.7,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766256,39ac45,43.5386,1.33521,113,310.7,128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766257,39ac45,43.5386,1.33521,114,311.1,256,SAMUCF,False,False,False,7014,1875.0,1875,,,
1656766258,39ac45,43.5386,1.33521,114,311.1,128,SAMUCF,False,False,False,7014,1875.0,1875,,,
